locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
6386,"Warszawa, ul. Wokalna",no2,5.9,"{'utc': '2023-07-03T10:00:00+00:00', 'local': '2023-07-03T12:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,6.3,"{'utc': '2023-07-03T11:00:00+00:00', 'local': '2023-07-03T13:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,5.7,"{'utc': '2023-07-03T12:00:00+00:00', 'local': '2023-07-03T14:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,5.6,"{'utc': '2023-07-03T13:00:00+00:00', 'local': '2023-07-03T15:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,7.5,"{'utc': '2023-07-03T14:00:00+00:00', 'local': '2023-07-03T16:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,8.1,"{'utc': '2023-07-03T15:00:00+00:00', 'local': '2023-07-03T17:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,7.8,"{'utc': '2023-07-03T16:00:00+00:00', 'local': '2023-07-03T18:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,11.3,"{'utc': '2023-07-03T18:00:00+00:00', 'local': '2023-07-03T20:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,12.3,"{'utc': '2023-07-03T19:00:00+00:00', 'local': '2023-07-03T21:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
6386,"Warszawa, ul. Wokalna",no2,23.2,"{'utc': '2023-07-03T20:00:00+00:00', 'local': '2023-07-03T22:00:00+02:00'}",µg/m³,"{'latitude': 52.160772, 'longitude': 21.033819}",PL,,False,,Governmental Organization,reference grade
